# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3] c_flux[4]*c_flux[4] c_flux[5]*c_flux[5] c_flux[6]*c_flux[6]
0 100
46 157500 56 -16677.1 -13925.4 83373.2 -229472 -273868 187671
47 161000 55 48662.5 -63426.4 -133872 21878.4 -163313 -476296
48 164500 54 38133.3 155330 276439 -6253.02 542443 -190012
49 168000 53 -53789.6 -6895.4 -358353 -319751 -422561 -255615
50 171500 52 10810.7 -27187 -919778 267254 591162 -326661
51 175000 51 493.699 160790 961881 -462954 -110604 538166
52 178500 50 20834.2 -72161.6 -249303 118377 -640759 -54320.5
53 182000 49 53795.3 -38326.7 130451 55069.5 42286.5 412123
54 185500 48 -50231.8 124525 113695 135366 692739 -86547.2
55 189000 47 -10493.8 -39875.1 -613989 -59866.5 -80664.6 -569126
56 192500 46 13633.1 -9966.8 153309 -58809.8 -502613 323888
57 196000 45 -70368 -7449.59 -156525 -545209 127898 108945
58 199500 44 -117747 -31171.9 628658 -106641 192270 226715
59 203000 43 125347 25235.3 -390654 402028 56184.2 -242662
60 206500 42 67611.2 -145045 -747063 -28681.3 -499671 -375515
61 210000 41 65259.2 59451.4 1.09304e+06 91289 279742 655691
62 213500 40 99427.4 76080.1 1.03763e+06 137056 191927 954799
63 217000 39 32435.8 -165651 -3266.82 436923 -427357 -569997
64 220500 38 -41025 -71793.1 -1.5265e+06 -61314.5 512173 -1.37324e+06
65 224000 37 -1372.91 55441.3 -728464 -177297 -105514 -53847.6
66 227500 36 33880 38145.6 762057 -470648 -352199 843816
67 231000 35 52680.2 -65750.5 500436 88995.6 -106786 458855
68 234500 34 -55595.7 -55995.4 -24481.4 -276536 364834 106114
69 238000 33 19682.3 31761.5 -562389 849002 -129008 -1.20618e+06
70 241500 32 104482 107.189 83436.8 274987 -12607.5 -34063.3
71 245000 31 55894.6 964.37 193134 -356975 76249.6 261803
72 248500 30 11374.9 71559 -738638 47140 535369 -415515
73 252000 29 16278.9 -122738 -214733 65555.6 -476926 191810
74 255500 28 47737.3 13085.9 -401521 770501 -223363 -669244
75 259000 27 -33299.2 224410 -272100 12779.8 312316 -322621
76 262500 26 -26186.2 63986.7 912423 -303001 146869 1.26452e+06
77 266000 25 -67116.6 -103981 126945 -549714 -222569 492409
78 269500 24 203142 211610 433572 273380 198304 93440.6
79 273000 23 146572 79327.9 -865182 202024 -422808 -919676
80 276500 22 17957.4 -203768 -427172 568084 -736641 -648537
81 280000 21 35975.4 121136 106509 -322721 1.11366e+06 741629
82 283500 20 -9693.43 168878 887225 -714417 368914 191460
83 287000 19 -28041.2 -108108 721058 334755 -794367 -182379
84 290500 18 -9717.27 99418.4 -1.43382e+06 170263 -794415 -443084
85 294000 17 317621 -131882 260725 463568 -168289 361410
86 297500 16 -92316.4 -19629.5 1.37794e+06 -651798 722254 866213
87 301000 15 -121028 444042 81624.2 -458984 742982 -84572.8
88 304500 14 113350 -223405 -1.38436e+06 1.06883e+06 -595296 -296693
89 308000 13 6752.56 -187216 304870 396241 280676 484111
90 311500 12 3013.51 -107203 1.28304e+06 -95800.6 -738074 -89987.8
91 315000 11 72860.1 3919.09 59803.7 -52848.3 177515 -697031
92 318500 10 61471.6 478584 372430 -612122 2.06449e+06 -117580
93 322000 9 168946 -323502 -293821 151882 -1.31564e+06 50638.7
94 325500 8 128726 -542322 154229 654321 -388653 -165797
95 329000 7 -380565 242139 518261 -449513 521786 -449721
96 332500 6 -23193.2 291882 -3.27397e+06 -1.07208e+06 358541 -1.00367e+06
97 336000 5 410441 -245352 -1.95089e+06 -496408 171205 856778
98 339500 4 52112.7 -278328 2.10761e+06 2.02024e+06 311545 943125
99 343000 3 -259918 18330.2 1.42007e+06 4.48126e+06 -506717 -681466
100 346500 2 291832 306780 64360.7 72186.8 -924586 -265816
700000 100
1 0 201 448888 499131 2.93787e+06 2.23274e+06 2.45118e+06 2.31319e+06
2 3500 200 6356.94 -44076 -101594 -178799 -225260 179986
3 7000 199 -77854.3 -134204 -628960 -312339 -279166 -547829
4 10500 198 46835.7 105468 -74431.8 119351 115429 -31178.3
5 14000 197 67087.8 34873.9 6220.48 -171726 203767 136814
6 17500 196 -74819.9 -31612 200801 -301246 -190042 178191
7 21000 195 -3132.59 23316.6 4294.96 122368 250216 -33090.2
8 24500 194 72106.8 20736.3 -37956.4 106448 53493.1 -177924
9 28000 193 11417.8 9473.7 13384.8 -99589.1 -109949 31467.3
10 31500 192 -33960.5 -36491.2 -168616 -48982.6 -326164 -100420
11 35000 191 26870.3 40858.2 -41447.3 93318.1 81844.6 91490.7
12 38500 190 42461.3 51666.1 -92279.2 112825 314232 -63866.3
13 42000 189 -31537.1 -52436.1 -326547 -143500 -299147 -258699
14 45500 188 1601.37 -7653.8 -278608 76527.8 -73052.8 -429972
15 49000 187 -3275.07 2127.17 194345 -26809.7 18362.6 -13915
16 52500 186 2229.83 -66483 234002 -61989.1 -254861 232902
17 56000 185 -33283.1 25878.3 94281.3 -44733.1 -32514.6 66778.1
18 59500 184 35065.4 33427.7 82382.8 45822.4 102847 98395.5
19 63000 183 11240 -52899.8 -305180 -392126 2858.57 -132602
20 66500 182 31803.2 -13022.5 -63354 179945 35034 -16093
21 70000 181 20449.7 71371.2 76022.6 152445 39814.1 77778.5
22 73500 180 35813.2 -7931.75 -96585.5 49265.6 -157336 -26800.3
23 77000 179 -17564.3 -11317.7 188648 -6321.01 140879 64305.5
24 80500 178 54962.9 -20141.1 8694.65 118910 -416257 -40795.6
25 84000 177 -25915.3 -27830.6 -150899 -235624 4061.37 1321.71
26 87500 176 -52417.7 38339.8 398004 -2928.28 194930 419293
27 91000 175 12804.6 -9218.75 -264405 95008.9 -154326 -46351.4
28 94500 174 37334 -19011.4 -240892 -138193 -121310 -183347
29 98000 173 -12747 -945.959 12631.9 128498 88922.6 -107131
30 101500 172 -21857.9 -50166.2 304183 46999.8 -44334.1 196623
31 105000 171 20941 67364.7 136202 168269 -109386 126377
32 108500 170 41692.6 -2815.8 -262066 76350.3 -130406 -176635
33 112000 169 -34294 -28560 232144 -53473.4 72347.9 137261
34 115500 168 -10195.5 24848.2 210118 143027 147070 156978
35 119000 167 56470.8 -26689 -227239 41646.2 -204251 20114
36 122500 166 -34759.1 -42763 -64630.6 -195891 94483.7 7519.65
37 126000 165 -26018.4 33092.9 36289 134615 134633 110146
38 129500 164 61274.3 28741.2 220862 -8685.87 77720.5 -152599
39 133000 163 61764.9 11917.3 -165809 181661 47080.1 -295753
40 136500 162 -79422.1 -20032.7 -75081.5 -356242 150908 -33903.6
